Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.03,0,0.0842615173014768787804429014,0.0842615173014769,0.0842615173014769,0.0842615173014769,0.0842615173014769,0,0.0000000,0.0000000,0,8.86354471101439853170168557,67.920187443247543613023128776,71.608924984999008222650812977,1020611000
12.04,0,0.0842392688745382903743293565,0.0842392688745383,0.0842392688745383,0.0842392688745383,0.0842392688745383,0,0.0000000,0.0000000,0,8.860340307593127232684609377,67.911925893691662381657544453,71.603541693913639087729026165,1021459000
12.05,0,0.0842170668896046267823291617,0.0842170668896046,0.0842170668896046,0.0842170668896046,0.0842170668896046,0,0.0000000,0.0000000,0,8.857138038224947851925817916,67.903673713522105488867424699,71.598165768606854826593152982,1022307000
12.06,0,0.0841949128920815671317260268,0.0841949128920816,0.0841949128920816,0.0841949128920816,0.0841949128920816,0,0.0000000,0.0000000,0,8.853937807947350334647316243,67.895402412012657240228068704,71.59277896724622265737700098,1023156000
12.07,0,0.0841727917038970123524535311,0.084172791703897,0.084172791703897,0.084172791703897,0.084172791703897,0,0.0000000,0.0000000,0,8.850739710358497921899018209,67.887158360531465454466693824,71.58741101275314401565776482,1024004000
12.08,0,0.0841507184880096054618404777,0.0841507184880096,0.0841507184880096,0.0841507184880096,0.0841507184880096,0,0.0000000,0.0000000,0,8.847543644031402882859906075,67.878914788243424460549870568,71.582044769835229460100767771,1024853000
12.09,0,0.0841286971269258508899893483,0.0841286971269259,0.0841286971269259,0.0841286971269259,0.0841286971269259,0,0.0000000,0.0000000,0,8.844349839067475810665939291,67.870679347011310233743752246,71.576685055640946322809252005,1025701000
12.10,0,0.0841067151172398458809792742,0.0841067151172398,0.0841067151172398,0.0841067151172398,0.0841067151172398,0,0.0000000,0.0000000,0,8.841158369849085974496100116,67.862452358267530085949504901,71.571332047802336143204461082,1026549000
12.11,0,0.0840847741431995507862975873,0.0840847741431996,0.0840847741431996,0.0840847741431996,0.0840847741431996,0,0.0000000,0.0000000,0,8.837969042498232291443325202,67.854228843674259630097345921,71.565982635081941458248759366,1027398000
12.12,0,0.0840628778305635377627039854,0.0840628778305636,0.0840628778305636,0.0840628778305636,0.0840628778305636,0,0.0000000,0.0000000,0,8.834781489025106706729619607,67.846006945368450388183119577,71.560635782407332538872508093,1028246000
